encounter_id,winner_url,winner,loser_url,loser,winner_score,loser_score,winner_rating,loser_rating,new_winner_rating,new_loser_rating
6,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/152CEA8B-87AE-457E-8DAD-4526868C7783,tedkittenski,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/152CEA8B-87AE-457E-8DAD-4526868C7783,tedkittenski,tedkittenski,3,25.0,25.0,29.39583201999916,20.604167980000835
12,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/054C0B24-525F-4900-A94F-303DD7E0A9AB,Kumatora,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/054C0B24-525F-4900-A94F-303DD7E0A9AB,Kumatora,Kumatora,3,25.0,25.0,29.39583201999916,20.604167980000835
16,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/C214276E-3E28-431B-9620-0CAD0A2B1780,Andrew,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/C214276E-3E28-431B-9620-0CAD0A2B1780,Andrew,Andrew,3,25.0,25.0,29.39583201999916,20.604167980000835
14,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/22B250E4-1F29-4965-AA15-BAE163C51C48,witdashifts | ren,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/22B250E4-1F29-4965-AA15-BAE163C51C48,witdashifts | ren,witdashifts | ren,3,25.0,25.0,29.39583201999916,20.604167980000835
10,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/B3251521-0410-4102-849B-508B91055706,Ferrari,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/B3251521-0410-4102-849B-508B91055706,Ferrari,0,Ferrari,25.0,25.0,29.39583201999916,20.604167980000835
2,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/3A1DB1A3-E2A7-478D-82ED-5F1392DFD1F9,HoG|SRG|WCT | Jkiller,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/3A1DB1A3-E2A7-478D-82ED-5F1392DFD1F9,HoG|SRG|WCT | Jkiller,1,HoG|SRG|WCT | Jkiller,25.0,25.0,29.39583201999916,20.604167980000835
8,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/5FA6F7BC-EA58-436E-A95D-663C4BFBE9EA,Moby Dick | Fruity,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/5FA6F7BC-EA58-436E-A95D-663C4BFBE9EA,Moby Dick | Fruity,Moby Dick | Fruity,3,25.0,25.0,29.39583201999916,20.604167980000835
23,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/C09FC6AD-FF20-4743-A7DF-ACCD0B57B842,$G|MP | Bank,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/C09FC6AD-FF20-4743-A7DF-ACCD0B57B842,$G|MP | Bank,$G|MP | Bank,3,25.0,25.0,29.39583201999916,20.604167980000835
18,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/D15EB0C1-5E42-48B7-AE57-CC2D32CB5F0A,DadsAkimbo,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/D15EB0C1-5E42-48B7-AE57-CC2D32CB5F0A,DadsAkimbo,DadsAkimbo,3,25.0,25.0,29.39583201999916,20.604167980000835
17,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/F6E88BFB-8602-4A5A-9A02-7FA6D3098A6C,MATE | Kalvar,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/F6E88BFB-8602-4A5A-9A02-7FA6D3098A6C,MATE | Kalvar,MATE | Kalvar,3,25.0,25.0,29.39583201999916,20.604167980000835
