encounter_id,winner_url,winner,loser_url,loser,winner_score,loser_score,tournament_url,tournament_name,tournament_date,tournament_country,tournament_region,tournament_number_of_players
63,/league/nemelee/player/38A911E4-2509-47A1-8479-C9BD87DFB119?,Karils | Conflict,/league/nemelee/player/5802E975-E104-4A60-A276-5548BFE90CA6?,Naerith,3,1,/tournament/60D4167B-1864-4134-8AA2-D5F521A75089,HoG: Phoenix 7.7,2024-12-26,,,
54,/league/nemelee/player/CA6CC8EB-09CF-4340-B4E9-244A25DDB2A5?,Frootbat,/league/nemelee/player/B8B5B5D7-0E6F-4D74-923B-F64F565BE061?,RhodeIslandBean,2,0,/tournament/B44EDD48-9124-4BBD-A9C2-8F5F1FA2A75C,New Game Plus Revival 7.17,2025-03-11,,,
41,/league/nemelee/player/68FDE4CF-C3CF-471B-A808-A93E8712BB26?,Eddy Connecticut,/league/nemelee/player/8CB0729A-80C5-4A3F-9591-380FF05514E5?,coinstar,3,1,/tournament/AA164FC3-2546-4C26-914A-CFEF878DB93F,HoG: Phoenix 8.12,2025-07-10,/assets/images/country/flag/us.png,/assets/images/country/regions/us/connecticut.png,
64,/league/nemelee/player/5CD3DDFC-6380-4395-8DF7-590D498437E2?,MP | Future Shock,/league/nemelee/player/66DEE195-4DE9-408B-8479-451A9E3F88B5?,zaubermaus,3,1,/tournament/38B085BA-7C0F-4E0B-853A-10437FBB873F,New Game Plus Revival 5.10,2024-01-23,,,
13,/league/nemelee/player/9CB48DEB-E0C6-428F-B74D-8DF4395C77BF?,Artelind,/league/nemelee/player/1787A0DC-2C4A-4E4A-9CD4-D1649E9855F9?,ETHAN BURKE,3,1,/tournament/C648B9A1-CA97-410D-844E-91E13F5A8822,HSG MultiShine S9-13,2022-11-14,,,
79,/league/nemelee/player/10F61347-8632-448F-AAD5-AFB8F7F72C43?,Ember,/league/nemelee/player/4C513725-8EC8-4333-B0F9-E950E7181EA0?,Kumatora,3,0,/tournament/4784C20F-1CBB-46E8-B1FD-52A2A6E91212,Critical Mass,2024-07-13,,,
42,/league/nemelee/player/5CD3DDFC-6380-4395-8DF7-590D498437E2?,Future Shock,/league/nemelee/player/FAD59409-8B3E-4A73-9002-3E85EAD95CB1?,Rarik,3,1,/tournament/CE335CCD-A21F-4D90-B29D-F4CEBB4C64FD,New England Star League Finals,2025-07-12,/assets/images/country/flag/us.png,/assets/images/country/regions/us/massachusetts.png,
68,/league/nemelee/player/253F9A90-BFC0-4D45-8B4C-E0231A76A230?,DynamoDB,/league/nemelee/player/68FDE4CF-C3CF-471B-A808-A93E8712BB26?,UofT | Eddy Connecticut,3,2,/tournament/DB6C030F-2A95-4822-A9D5-D690F39B5747,HoG: Phoenix 7.17,2025-03-06,,,
26,/league/nemelee/player/13139703-EE49-4EBA-858F-48FD2DA43206?,POOPYDESTROYER,/league/nemelee/player/FCCB2118-7005-48B7-BA9A-ADA64D462727?,2muchsand,3,2,/tournament/59088534-22A7-40D9-B15B-87F94790CBD5,Prodigy Smash Weekly #164,2024-12-20,,,
31,/league/nemelee/player/C2069576-DB5B-42E0-9C4B-31182802A60F?,MATE | Kalvar,/league/nemelee/player/10F61347-8632-448F-AAD5-AFB8F7F72C43?,Ember,3,0,/tournament/93B28D4F-6229-48AB-AB64-9ED61CDA9B2B,Pho Tai Melee 65 - Stayin,2024-09-06,,,
7,/league/nemelee/player/5247BCEB-AF03-413F-BFD1-57D0354B00FF?,CP,/league/nemelee/player/91767D5A-9651-44FB-A306-B8D78AD36F04?,Ironbong,3,0,/tournament/3E6A79A8-AC3C-4A45-979E-B980FF36020F,ESG Melee-MultiVersus Weekly #06,2022-10-23,,,
22,/league/nemelee/player/1FE504AF-EE8C-4426-AEDD-2EF99F053B17?,glock in my toyota,/league/nemelee/player/0267F6B4-223B-4D0D-B0AB-3B7084B37AB7?,Greenstach,3,0,/tournament/3EB06C38-8364-4D66-A1DD-B6F82298A4D7,Prodigy Classic V,2025-06-28,/assets/images/country/flag/us.png,/assets/images/country/regions/us/massachusetts.png,
32,/league/nemelee/player/CEBCAD46-A933-4EA6-92F1-B9C85D5C71F2?,HoG | Arty,/league/nemelee/player/39180F6B-5300-4E80-9AA2-173B0516B681?,Nairial,3,2,/tournament/230DE80D-E7DD-4EEE-8262-382493C6CDD3,HoG: Phoenix 7.6,2024-12-19,,,
