assignment,gamer_tag,prefix,entrant_name,discord,twitter,twitch,youtube
1,Andrew,,Andrew,Padna#3980,,,
0,Arty,HoG,HoG | Arty,Arty#5971,HoG_Arty,HoG_Arty,
0,BBron,BU,BU | BBron,,,,
2,Babs,hc,hc | Babs,babs#5612,,smokingrockwithmyangel,
0,Bank,$G|MP,$G|MP | Bank,,,ssbmbank,
2,Blip Blip You Dip,UML,UML | Blip Blip You Dip,puyopuyotetris,,,
0,BonkCushy,,BonkCushy,bonkcushy,,,
1,Breathlessx22,N0va,N0va | Breathlessx22,Breathlessx22#0420,breathlessx22,,
0,Brub,HoG,HoG | Brub,brubesque,brubesque,,
0,Chanterelle,Blueish,Blueish | Chanterelle,,,,
2,Cheezboom,,Cheezboom,cheezboom,,,
2,Coffee,,Coffee,coffeegirlemery,,,
2,Coffee,,Coffee,,,,
1,Conflict,Karils,Karils | Conflict,conflict7417,,Conflict_ssbm,
1,Cranberry,,Cranberry,,Cranberry_MA,,
2,DadsAkimbo,,DadsAkimbo,...Dad?!#5428,ItsdadSsbm,plzsendhalp,
1,DarkCloud,,DarkCloud,,,,
1,Desmond,,Desmond,,,,
1,Dominion,,Dominion,therealdominion,dominionssb,,
1,Door,,Door,,,,
1,Downey,,Downey,,,,
1,Dr. Lame,Team Porp,Team Porp | Dr. Lame,dr.lame,Dr_LameME,PhD_Lame,
2,Duffy,Brotherhood,Brotherhood | Duffy,,,,
1,EduPorp,DrEsportstTeam,DrEsportstTeam | EduPorp,eduporp,EduPorp,EducationalPorpoises,
2,Ember,,Ember,IncelFactory#7453,IncelFactory,,
1,Embry,SIX,SIX | Embry,,EmbryChi,,
2,Essence,,Essence,yeetcheng,,,
0,Exarch,,Exarch,exarchrainy,exarchrainy,Exarch,
2,Ferrari,,Ferrari,ferrari_18,,,
1,Future Shock,,Future Shock,future_shock_falcon,FutureShock_SSB,,
1,Gambit,,Gambit,NickH#7891,,,
0,Golden,,Golden,,Golden_SSBM,Redrune345,
1,Groggy,,Groggy,groggymicrobe41,GroggyMicrobe41,GroggyMicrobe41,
1,GuitarLord,,GuitarLord,pizza__ball,,TehGuitarLord,
0,Hollow,,Hollow,BradfordTheGrey#1972,,,
1,Hysteric,,Hysteric,Hysteric#2216,,,
1,JLC,,JLC,,,,
0,Jeep God,hc,hc | Jeep God,jeepgod,,,
1,Juicebox,,Juicebox,juicebox07,,,
2,Jury,,Jury,,JuryFX,,
1,Kalvar,MATE,MATE | Kalvar,,SsbmKalvar,Kalvarr,
2,Kumatora,,Kumatora,kumatora_am,,,
0,Lati,HoG,HoG | Lati,latidati,v1tagirl,,
2,Lermonz,AFMCX,AFMCX | Lermonz,Lermonz#7992,,,
0,LordTet,sfy,sfy | LordTet,lordtet,LordTet,lordtet_,
1,M.SKITTLE,,M.SKITTLE,M.SKiTTLE#2374,,,
2,MattDotZeb,,MattDotZeb,MattDotZeb#0568,DotZeb,,
1,N0va,N0va | WAS,N0va | WAS | N0va,N0va#1271,hp_n0va,n0va_esports,
2,Nairial,Hyouka,Hyouka | Nairial,nairial.,,nairial,
2,Nico,,Nico,,,,
1,PRIONBOIL,,PRIONBOIL,nibck,,,
2,Petotae,',' | Petotae,,,,
1,Pizza,hc,hc | Pizza,,,,
1,Project,,Project,,EricDouk,,
1,PépiNoCreme,GtownResident,GtownResident | PépiNoCreme,penelopejizzgerald,CPherox,cyberpalu,
0,Q,,Q,Cute Duck#7400,,BigKitchenSink,
1,Raf,,Raf,,,,
0,Rarik,,Rarik,,Rarik13,,
2,Rekzuh,,Rekzuh,NICK.#1846,,rekzuh,
1,RhodeIslandBean,,RhodeIslandBean,,Seabeazley,,
0,RoccoChief,,RoccoChief,roccochief,,,
2,Roughnut29,,Roughnut29,stealthweevil,,roughnut29,
0,Sabriel,,Sabriel,,,,
2,Saltzy,Chimp's Friend,Chimp's Friend | Saltzy,saltzy,,,
1,Shuffle,,Shuffle,,,,
0,Sleeper,,Sleeper,ssbmsleeper,,,
2,Spespe,,Spespe,,,,
0,Swartzy,,Swartzy,,,,
2,Sweat,,Sweat,,,,
0,TeaKay,,TeaKay,,SSBM_TeaKay,teakaylive,
1,Tichinde925,,Tichinde925,Tichinde925#6323,,Tichinde925,
0,Tommy,,Tommy,Tommy64#6411,Tommy646969,,
1,Tpoz,Cigarette Wrld,Cigarette Wrld | Tpoz,tpoz,Tp0z69,Tp0z,
2,Twisty,,Twisty,,TwistyCap,Twisty_Cap,
0,Wolf,,Wolf,,,,
1,Yifu,,Yifu,Yifu731#6770,,,
1,Younger,,Younger,Younger#3311,max_rais,younger___,
2,bleop,,bleop,bleop,bleopfella,milkfree345,
2,coinstar,,coinstar,the101stgec,,,
0,cupofwater,,cupofwater,,,cupofwater123,
0,door,,door,doorflaug,,,
0,eveningstar,,eveningstar,eveningstar#9379,Eveningstar29,eveningstar3,
0,kaimen,,kaimen,kaimen#4141,,,
2,kraft,hc,hc | kraft,,,,
0,kzgrobb,,kzgrobb,,,,
0,lioX0X0,,lioX0X0,lioxox,LIOX0X0,lio_xoxo,
1,meep,heeg,heeg | meep,,,,
1,nikhil,,nikhil,nikhilisvalid,,,
1,ninnyblud22,LC,LC | ninnyblud22,seafared,,,
1,oliver,,oliver,,,,
1,s1matic,ICSP,ICSP | s1matic,ch340,,,
1,saucymain,hc,hc | saucymain,saucymain#7778,benjammin_boi,saucymain1,
2,shmeeli,s6,s6 | shmeeli,shmeeli,eli_shmeeli,shmeeli_ssbm,
2,splant,,splant,,,,
0,supremelol,,supremelol,supremelol,supremelol,supremel0l,
1,viole,,viole,,,,
1,wons,PFC,PFC | wons,vwunsie,,,
1,wons,so-po,so-po | wons,vwunsie,,,
2,wub,,wub,conwub#1971,,,
1,zip zip,,zip zip,Zip Zip Dpon648#8906,,,
